VALUE,Longitude,Latitude
1.00000000,77.1123134,28.8477856
1.00000000,77.1124158,28.8477840
1.00000000,77.1125183,28.8477824
1.00000000,77.1126207,28.8477808
1.00000000,77.2124027,28.8461803
1.00000000,77.1123116,28.8476954
1.00000000,77.1178438,28.8476086
1.00000000,77.1184585,28.8475990
1.00000000,77.2124008,28.8460901
1.00000000,77.2125032,28.8460884
1.00000000,77.1177395,28.8475201
1.00000000,77.2125013,28.8459982
1.00000000,77.2126037,28.8459965
1.00000000,77.2126018,28.8459063
1.00000000,77.2127043,28.8459046
1.00000000,77.2128067,28.8459030
1.00000000,77.2129092,28.8459013
1.00000000,77.2130116,28.8458996
1.00000000,77.2131140,28.8458979
1.00000000,77.2127024,28.8458145
1.00000000,77.2128048,28.8458128
1.00000000,77.2129073,28.8458111
1.00000000,77.2130097,28.8458094
1.00000000,77.2131121,28.8458077
1.00000000,77.2132146,28.8458060
1.00000000,77.2133170,28.8458044
1.00000000,77.1116896,28.8473443
1.00000000,77.1117920,28.8473427
1.00000000,77.1119969,28.8473395
1.00000000,77.1120994,28.8473378
1.00000000,77.1122018,28.8473362
1.00000000,77.1123043,28.8473346
1.00000000,77.1181439,28.8472430
1.00000000,77.2130078,28.8457192
1.00000000,77.2131102,28.8457175
1.00000000,77.2132127,28.8457159
1.00000000,77.2133151,28.8457142
1.00000000,77.2134175,28.8457125
1.00000000,77.1117902,28.8472525
1.00000000,77.1118926,28.8472509
1.00000000,77.1119951,28.8472493
1.00000000,77.1120975,28.8472476
1.00000000,77.2131083,28.8456273
1.00000000,77.2132108,28.8456257
1.00000000,77.2133132,28.8456240
1.00000000,77.2134156,28.8456223
1.00000000,77.2135181,28.8456206
1.00000000,77.1115835,28.8471655
1.00000000,77.1117884,28.8471623
1.00000000,77.1119933,28.8471591
1.00000000,77.2131064,28.8455371
1.00000000,77.2132088,28.8455355
1.00000000,77.2133113,28.8455338
1.00000000,77.2134137,28.8455321
1.00000000,77.2135162,28.8455304
1.00000000,77.2136186,28.8455287
1.00000000,77.2137210,28.8455271
1.00000000,77.2138235,28.8455254
1.00000000,77.1206996,28.8469322
1.00000000,77.1208020,28.8469305
1.00000000,77.2133094,28.8454436
1.00000000,77.2134118,28.8454419
1.00000000,77.2135143,28.8454402
1.00000000,77.2136167,28.8454385
1.00000000,77.2137191,28.8454369
1.00000000,77.2138216,28.8454352
1.00000000,77.2139240,28.8454335
1.00000000,77.1206978,28.8468420
1.00000000,77.2134099,28.8453517
1.00000000,77.2135123,28.8453500
1.00000000,77.2136148,28.8453483
1.00000000,77.2137172,28.8453467
1.00000000,77.2138197,28.8453450
1.00000000,77.2139221,28.8453433
1.00000000,77.2140245,28.8453416
1.00000000,77.2134080,28.8452615
1.00000000,77.2135104,28.8452598
1.00000000,77.2136129,28.8452582
1.00000000,77.2137153,28.8452565
1.00000000,77.2138178,28.8452548
1.00000000,77.2139202,28.8452531
1.00000000,77.2140226,28.8452514
1.00000000,77.2135085,28.8451696
1.00000000,77.2136110,28.8451680
1.00000000,77.2137134,28.8451663
1.00000000,77.2138158,28.8451646
1.00000000,77.2139183,28.8451629
1.00000000,77.2140207,28.8451612
1.00000000,77.2141232,28.8451595
1.00000000,77.2135066,28.8450794
1.00000000,77.2136091,28.8450778
1.00000000,77.2137115,28.8450761
1.00000000,77.2138139,28.8450744
1.00000000,77.2139164,28.8450727
1.00000000,77.2140188,28.8450710
1.00000000,77.2141213,28.8450694
1.00000000,77.2136071,28.8449876
1.00000000,77.2137096,28.8449859
1.00000000,77.2138120,28.8449842
1.00000000,77.2139145,28.8449825
1.00000000,77.2140169,28.8449808
1.00000000,77.2141193,28.8449792
1.00000000,77.2142218,28.8449775
1.00000000,77.1133123,28.8465068
1.00000000,77.2136052,28.8448974
1.00000000,77.2137077,28.8448957
1.00000000,77.2138101,28.8448940
1.00000000,77.2139126,28.8448923
1.00000000,77.2140150,28.8448906
1.00000000,77.2141174,28.8448890
1.00000000,77.2142199,28.8448873
1.00000000,77.2143223,28.8448856
1.00000000,77.1126958,28.8464262
1.00000000,77.2137058,28.8448055
1.00000000,77.2138082,28.8448038
1.00000000,77.2139106,28.8448021
1.00000000,77.2140131,28.8448005
1.00000000,77.2141155,28.8447988
1.00000000,77.2142180,28.8447971
1.00000000,77.2143204,28.8447954
1.00000000,77.1133087,28.8463264
1.00000000,77.1134111,28.8463248
1.00000000,77.1135136,28.8463232
1.00000000,77.1187384,28.8462412
1.00000000,77.1198654,28.8462234
1.00000000,77.1199678,28.8462218
1.00000000,77.2138063,28.8447136
1.00000000,77.2139087,28.8447119
1.00000000,77.2140112,28.8447103
1.00000000,77.2141136,28.8447086
1.00000000,77.2142161,28.8447069
